emoji,sentiment_score,en_emoji,vi_emoji,raw_sample
💥,0.0,:collision:,va_chạm,💥
😙,0.0,:kissing_face_with_smiling_eyes:,hôn_trìu_mến,😙
📧,0.0,:e-mail:,thư_điện_tử,📧
👊,0.0,:oncoming_fist_light_skin_tone:,nắm_đấm,👊🏻
❤‍🔥,0.8,:heart_on_fire:,trái_tim_cháy_bỏng,❤️‍🔥
📛,0.0,:name_badge:,thẻ_tên,📛
🗣,0.0,:speaking_head:,lên_tiếng,🗣️
📌,0.0,:pushpin:,đinh_ghim,📌
❤,0.8,:red_heart:,trái_tim_yêu_thương,❤
🥹,0.0,:face_holding_back_tears:,nghẹn_ngào,🥹
🌸,0.0,:cherry_blossom:,hoa_anh_đào,🌸
💋,0.0,:kiss_mark:,nụ_hôn,💋
💡,0.0,:light_bulb:,ý_tưởng,💡
💦,0.0,:sweat_droplets:,toát_mồ_hôi,💦
🥇,0.8,:1st_place_medal:,huy_chương_vàng,🥇
🥞,0.0,:pancakes:,bánh_kếp,🥞
🤯,0.0,:exploding_head:,nổ_não,🤯
🫶,0.8,:heart_hands_light_skin_tone:,tạo_hình_trái_tim,🫶🏻
🤨,0.0,:face_with_raised_eyebrow:,nhướn_mày,🤨
☎,0.0,:telephone:,điện_thoại_bàn,☎️
🚀,0.0,:rocket:,tên_lửa,🚀
👩‍❤‍💋‍👨,0.0,:kiss_woman_man:,nụ_hôn_đôi_lứa,👩‍❤️‍💋‍👨
💩,0.0,:pile_of_poo:,bãi_phân,💩
🛒,0.0,:shopping_cart:,giỏ_hàng,🛒
😏,0.8,:smirking_face:,cười_khẩy,😏
🤌,0.0,:pinched_fingers_light_skin_tone:,chụm_ngón_tay,🤌🏻
🥥,0.0,:coconut:,dừa,🥥
✂,0.0,:scissors:,kéo,✂️
⛪,0.0,:church:,nhà_thờ,⛪
🍯,0.0,:honey_pot:,mật_ong,🍯
📥,0.0,:inbox_tray:,hộp_thư_đến,📥
👏,0.0,:clapping_hands:,vỗ_tay,👏
😆,0.8,:grinning_squinting_face:,cười_toe_toét,😆
😈,0.8,:smiling_face_with_horns:,cười_ranh_mãnh,😈
💔,0.8,:broken_heart:,trái_tim_tan_vỡ,💔
🍦,0.0,:soft_ice_cream:,kem_ốc_quế,🍦
📈,0.0,:chart_increasing:,biểu_đồ_tăng,📈
🤡,0.0,:clown_face:,mặt_hề,🤡
🐕,0.0,:dog:,chó,🐕
👎,0.8,:thumbs_down_medium-light_skin_tone:,không_thích,👎🏼
🍀,0.8,:four_leaf_clover:,cỏ_bốn_lá,🍀
😮‍💨,0.0,:face_exhaling:,thở_phào,😮‍💨
🤔,0.0,:thinking_face:,suy_nghĩ,🤔
🤦‍♀,0.0,:woman_facepalming:,bó_tay,🤦‍♀️
🥱,0.0,:yawning_face:,ngáp,🥱
🔥,0.8,:fire:,cực_hot,🔥
‼,0.0,:double_exclamation_mark:,chấm_than_kép,‼️
©,0.0,:copyright:,bản_quyền,©️
🎧,0.0,:headphone:,tai_nghe,🎧
👟,0.0,:running_shoe:,giày_thể_thao,👟
🖥,0.0,:desktop_computer:,máy_tính_bàn,🖥
🧸,0.0,:teddy_bear:,gấu_bông,🧸
😧,0.0,:anguished_face:,khổ_sở,😧
💙,0.8,:blue_heart:,trái_tim_xanh_dương,💙
🌺,0.0,:hibiscus:,hoa_dâm_bụt,🌺
🛌,0.0,:person_in_bed:,nằm_nghỉ,🛌
▪,0.0,:black_small_square:,ô_vuông_đen,▪️
2⃣,0.0,:keycap_2:,2,2️⃣
🏡,0.0,:house_with_garden:,mái_ấm,🏡
❌,-0.8,:cross_mark:,dấu_sai,❌
🍐,0.0,:pear:,quả_lê,🍐
1⃣,0.0,:keycap_1:,1,1️⃣
🫨,0.0,:shaking_face:,bàng_hoàng,🫨
▫,0.0,:white_small_square:,ô_vuông_trắng,▫️
🌹,0.0,:rose:,hoa_hồng,🌹
🎂,0.0,:birthday_cake:,bánh_sinh_nhật,🎂
📝,0.0,:memo:,ghi_chú,📝
🤷,0.0,:person_shrugging:,nhún_vai,🤷
🏫,0.0,:school:,trường_học,🏫
⚠,0.0,:warning:,cảnh_báo,⚠️
🌏,0.0,:globe_showing_Asia-Australia:,địa_cầu_châu_á,🌏
💻,0.0,:laptop:,máy_tính_xách_tay,💻
😄,0.8,:grinning_face_with_smiling_eyes:,cười_híp_mắt,😄
📞,0.0,:telephone_receiver:,ống_nghe_điện_thoại,📞
🍊,0.0,:tangerine:,quýt,🍊
💝,0.8,:heart_with_ribbon:,trái_tim_quà_tặng,💝
😕,0.0,:confused_face:,bối_rối,😕
💗,0.8,:growing_heart:,trái_tim_rung_động,💗
🥗,0.0,:green_salad:,xà_lách,🥗
🧻,0.0,:roll_of_paper:,giấy_vệ_sinh,🧻
☝,0.0,:index_pointing_up:,chỉ_lên,☝️
☺,0.8,:smiling_face:,mặt_cười,☺
🐦,0.0,:bird:,chim,🐦
🌎,0.0,:globe_showing_Americas:,địa_cầu_châu_mỹ,🌎
😥,-0.8,:sad_but_relieved_face:,buồn_nhẹ_nhõm,😥
😽,0.0,:kissing_cat:,hôn_yêu,😽
✨,0.8,:sparkles:,lấp_lánh,✨
💬,0.0,:speech_balloon:,bong_bóng_thoại,💬
👍,0.0,:thumbs_up_light_skin_tone:,tán_thành,👍🏻
🌝,0.0,:full_moon_face:,trăng_tròn,🌝
🍅,0.0,:tomato:,cà_chua,🍅
🤟,0.8,:love-you_gesture_light_skin_tone:,yêu_thương,🤟🏻
😬,0.0,:grimacing_face:,nhăn_mặt,😬
🐔,0.0,:chicken:,gà,🐔
🫩,0.0,:face_with_bags_under_eyes:,mệt_mỏi,🫩
🐢,0.0,:turtle:,rùa,🐢
🐮,0.0,:cow_face:,bò,🐮
🥖,0.0,:baguette_bread:,bánh_mì_baguette,🥖
🥴,0.0,:woozy_face:,choáng_váng,🥴
🤑,0.0,:money-mouth_face:,ham_tiền,🤑
😒,0.0,:unamused_face:,khó_chịu,😒
🍚,0.0,:cooked_rice:,cơm,🍚
🚚,0.0,:delivery_truck:,xe_giao_hàng,🚚
⚜,0.0,:fleur-de-lis:,hoa_huệ,⚜️
😴,0.0,:sleeping_face:,ngủ_say,😴
🖕,0.0,:middle_finger_light_skin_tone:,ngón_giữa,🖕🏻
😭,-0.8,:loudly_crying_face:,khóc_nức_nở,😭
🫣,0.0,:face_with_peeking_eye:,nhìn_trộm,🫣
🥰,0.8,:smiling_face_with_hearts:,yêu_thương_ngập_tràn,🥰
♦,0.0,:diamond_suit:,hình_thoi,♦️
😐,0.0,:neutral_face:,vô_cảm,😐
🫰,0.8,:hand_with_index_finger_and_thumb_crossed_light_skin_tone:,búng_tay_trái_tim,🫰🏻
🩷,0.8,:pink_heart:,trái_tim_hồng,🩷
🍄,0.0,:mushroom:,nấm,🍄
🕐,0.0,:one_o’clock:,một_giờ,🕐
😢,-0.8,:crying_face:,rơi_nước_mắt,😢
🔰,0.0,:Japanese_symbol_for_beginner:,người_mới,🔰
⛔,0.0,:no_entry:,cấm,⛔
🤷‍♀,0.0,:woman_shrugging_light_skin_tone:,nhún_vai_bất_lực,🤷🏻‍♀️
🤧,0.0,:sneezing_face:,hắt_hơi,🤧
❤‍🩹,0.8,:mending_heart:,trái_tim_hàn_gắn,❤️‍🩹
🌐,0.0,:globe_with_meridians:,mạng_toàn_cầu,🌐
👆,0.0,:backhand_index_pointing_up:,chỉ_lên,👆
👉,0.0,:backhand_index_pointing_right:,chỉ_sang_phải,👉
🌙,0.0,:crescent_moon:,trăng_lưỡi_liềm,🌙
🎼,0.0,:musical_score:,bản_nhạc,🎼
😰,0.0,:anxious_face_with_sweat:,lo_lắng_toát_mồ_hôi,😰
⭐,0.0,:star:,ngôi_sao,⭐
🍷,0.0,:wine_glass:,rượu_vang,🍷
😁,0.8,:beaming_face_with_smiling_eyes:,cười_rạng_rỡ,😁
🐱,0.0,:cat_face:,mèo,🐱
🚶,0.0,:person_walking:,đi_bộ,🚶
🤤,0.0,:drooling_face:,thèm_thuồng,🤤
😾,0.0,:pouting_cat:,bĩu_môi,😾
❗,0.0,:red_exclamation_mark:,dấu_chấm_than,❗
🤩,0.0,:star-struck:,ngưỡng_mộ,🤩
🔹,0.0,:small_blue_diamond:,kim_cương_xanh,🔹
🍈,0.0,:melon:,dưa_gang,🍈
👣,0.0,:footprints:,dấu_chân,👣
🌼,0.0,:blossom:,hoa,🌼
🌞,0.8,:sun_with_face:,mặt_trời_tươi_cười,🌞
🏝,0.0,:desert_island:,đảo_hoang,🏝
🅿,0.0,:P_button:,bãi_đỗ_xe,🅿
🌿,0.0,:herb:,thảo_dược,🌿
👀,0.0,:eyes:,ánh_mắt,👀
😎,0.0,:smiling_face_with_sunglasses:,ngầu,😎
🎉,0.0,:party_popper:,ăn_mừng,🎉
🥶,0.0,:cold_face:,lạnh_cóng,🥶
🛏,0.0,:bed:,giường,🛏️
💛,0.8,:yellow_heart:,trái_tim_vàng,💛
🗿,0.0,:moai:,tượng_đá,🗿
🤦,0.0,:person_facepalming:,bó_tay,🤦
💰,0.0,:money_bag:,túi_tiền,💰
4⃣,0.0,:keycap_4:,4,4️⃣
🔸,0.0,:small_orange_diamond:,kim_cương_cam,🔸
0⃣,0.0,:keycap_0:,0,0⃣
📺,0.0,:television:,tivi,📺
💴,0.0,:yen_banknote:,tiền_yên,💴
😛,0.0,:face_with_tongue:,lè_lưỡi,😛
🧚,0.0,:fairy_light_skin_tone:,nàng_tiên,🧚🏻
🎅,0.0,:Santa_Claus:,ông_già_noel,🎅
🥸,0.0,:disguised_face:,cải_trang,🥸
😫,0.0,:tired_face:,kiệt_sức,😫
😡,-0.8,:enraged_face:,tức_giận,😡
📦,0.0,:package:,bưu_kiện,📦
😃,0.8,:grinning_face_with_big_eyes:,cười_tươi,😃
📍,0.0,:round_pushpin:,ghim_vị_trí,📍
🥺,0.0,:pleading_face:,ánh_mắt_van_nài,🥺
6⃣,0.0,:keycap_6:,6,6️⃣
💁‍♀,0.0,:woman_tipping_hand_medium-light_skin_tone:,ra_dáng,💁🏼‍♀️
⬇,0.0,:down_arrow:,mũi_tên_xuống,⬇️
🎯,0.0,:bullseye:,trúng_đích,🎯
✔,0.0,:check_mark:,dấu_đúng,✔
😌,0.0,:relieved_face:,nhẹ_nhõm,😌
🤏,0.0,:pinching_hand_medium_skin_tone:,véo_tay,🤏🏽
😩,0.0,:weary_face:,mệt_lử,😩
🙅,0.0,:person_gesturing_NO:,từ_chối,🙅
🌚,0.0,:new_moon_face:,trăng_khuyết,🌚
😉,0.0,:winking_face:,nháy_mắt,😉
🐧,0.0,:penguin:,chim_cánh_cụt,🐧
🛍,0.0,:shopping_bags:,túi_mua_sắm,🛍️
🏴󠁧󠁢󠁥󠁮󠁧󠁿,0.0,:England:,cờ_anh,🏴󠁧󠁢󠁥󠁮󠁧󠁿
😑,0.0,:expressionless_face:,vô_cảm,😑
💎,0.0,:gem_stone:,đá_quý,💎
🤭,0.8,:face_with_hand_over_mouth:,che_miệng_cười,🤭
🍃,0.0,:leaf_fluttering_in_wind:,lá_rung_rinh,🍃
🌍,0.0,:globe_showing_Europe-Africa:,địa_cầu_châu_âu,🌍
⏰,0.0,:alarm_clock:,báo_thức,⏰
🪎,0.0,:treasure_chest:,rương_kho_báu,🪎
🐠,0.0,:tropical_fish:,cá_nhiệt_đới,🐠
🍏,0.0,:green_apple:,táo_xanh,🍏
💖,0.8,:sparkling_heart:,trái_tim_lấp_lánh,💖
🥳,0.0,:partying_face:,tưng_bừng,🥳
🫠,0.0,:melting_face:,tan_chảy,🫠
👯‍♂,0.0,:men_with_bunny_ears:,song_ca,👯‍♂️
😵‍💫,0.0,:face_with_spiral_eyes:,choáng_váng,😵‍💫
😨,0.0,:fearful_face:,sợ_hãi,😨
💪,0.0,:flexed_biceps_light_skin_tone:,cơ_bắp,💪🏻
🩵,0.8,:light_blue_heart:,trái_tim_xanh_nhạt,🩵
😇,0.0,:smiling_face_with_halo:,hiền_lành,😇
🙂‍↕,0.0,:head_shaking_vertically:,gật_đầu,🙂‍↕️
💓,0.8,:beating_heart:,trái_tim_đập_rộn_ràng,💓
🍫,0.0,:chocolate_bar:,sô_cô_la,🍫
😶,0.0,:face_without_mouth:,im_lặng,😶
✅,0.0,:check_mark_button:,đã_hoàn_thành,✅
♥,0.8,:heart_suit:,trái_tim,♥️
🧡,0.8,:orange_heart:,trái_tim_cam,🧡
📣,0.0,:megaphone:,loa_phóng_thanh,📣
😂,0.8,:face_with_tears_of_joy:,cười_ra_nước_mắt,😂
🎈,0.0,:balloon:,bóng_bay,🎈
😲,0.0,:astonished_face:,sửng_sốt,😲
™,0.0,:trade_mark:,nhãn_hiệu,™
🪦,0.0,:headstone:,bia_mộ,🪦
🫡,0.0,:saluting_face:,chào_nghiêm_túc,🫡
🌱,0.0,:seedling:,mầm_non,🌱
😀,0.8,:grinning_face:,mặt_cười,😀
🥑,0.0,:avocado:,quả_bơ,🥑
🌕,0.0,:full_moon:,trăng_tròn,🌕
🌄,0.0,:sunrise_over_mountains:,bình_minh,🌄
🔴,0.0,:red_circle:,chấm_đỏ,🔴
9⃣,0.0,:keycap_9:,9,9️⃣
🍋,0.0,:lemon:,chanh_vàng,🍋
😊,0.8,:smiling_face_with_smiling_eyes:,cười_hiền,😊
🎓,0.8,:graduation_cap:,tốt_nghiệp,🎓
😤,0.0,:face_with_steam_from_nose:,hậm_hực,😤
😓,0.0,:downcast_face_with_sweat:,ủ_rũ,😓
🌤,0.0,:sun_behind_small_cloud:,nắng_nhẹ,🌤️
👧,0.0,:girl:,cô_bé,👧
😹,0.8,:cat_with_tears_of_joy:,cười_ra_nước_mắt,😹
🤗,0.0,:smiling_face_with_open_hands:,ôm_ấm_áp,🤗
🍇,0.0,:grapes:,nho,🍇
🎶,0.0,:musical_notes:,giai_điệu,🎶
🙂,0.8,:slightly_smiling_face:,hơi_mỉm_cười,🙂
💯,0.0,:hundred_points:,hoàn_hảo,💯
🌷,0.0,:tulip:,hoa_tulip,🌷
☠,0.0,:skull_and_crossbones:,nguy_hiểm_chết_người,☠️
😣,0.0,:persevering_face:,ráng_chịu_đựng,😣
🤓,0.0,:nerd_face:,mọt_sách,🤓
🐕‍🦺,0.0,:service_dog:,chó_nghiệp_vụ,🐕‍🦺
🧪,0.0,:test_tube:,ống_nghiệm,🧪
💜,0.8,:purple_heart:,trái_tim_tím,💜
😍,0.8,:smiling_face_with_heart-eyes:,mê_mẩn,😍
👋,0.0,:waving_hand:,vẫy_chào,👋
💠,0.0,:diamond_with_a_dot:,kim_cương_chấm,💠
💸,0.0,:money_with_wings:,tiền_bay,💸
🤞,0.0,:crossed_fingers:,cầu_may,🤞
🎀,0.0,:ribbon:,nơ,🎀
💐,0.0,:bouquet:,bó_hoa,💐
🙆‍♂,0.0,:man_gesturing_OK:,đồng_ý,🙆‍♂️
😚,0.0,:kissing_face_with_closed_eyes:,hôn_nhắm_mắt,😚
⛺,0.0,:tent:,lều_trại,⛺
🥛,0.0,:glass_of_milk:,ly_sữa,🥛
🧴,0.0,:lotion_bottle:,kem_dưỡng,🧴
😻,0.8,:smiling_cat_with_heart-eyes:,mê_mẩn,😻
👩‍💻,0.0,:woman_technologist:,nữ_lập_trình_viên,👩‍💻
😅,0.8,:grinning_face_with_sweat:,cười_gượng,😅
💢,-0.8,:anger_symbol:,nổi_giận,💢
🙄,0.0,:face_with_rolling_eyes:,trợn_mắt,🙄
😦,0.0,:frowning_face_with_open_mouth:,nhăn_nhó,😦
💌,0.8,:love_letter:,thư_tình,💌
😳,0.0,:flushed_face:,đỏ_mặt,😳
🪫,0.0,:low_battery:,pin_yếu,🪫
☀,0.0,:sun:,mặt_trời,☀️
🫐,0.0,:blueberries:,việt_quất,🫐
🙈,0.0,:see-no-evil_monkey:,che_mắt,🙈
3⃣,0.0,:keycap_3:,3,3️⃣
😘,0.0,:face_blowing_a_kiss:,hôn_gió,😘
👦,0.0,:boy:,cậu_bé,👦
🙂‍↔,0.0,:head_shaking_horizontally:,lắc_đầu,🙂‍↔️
🍓,0.0,:strawberry:,dâu_tây,🍓
🔓,0.0,:unlocked:,mở_khóa,🔓
💞,0.8,:revolving_hearts:,trái_tim_xoay_vòng,💞
🤒,0.0,:face_with_thermometer:,ốm_sốt,🤒
📱,0.0,:mobile_phone:,điện_thoại_di_động,📱
🫧,0.0,:bubbles:,bong_bóng,🫧
🫢,0.0,:face_with_open_eyes_and_hand_over_mouth:,ngạc_nhiên_che_miệng,🫢
🎆,0.8,:fireworks:,pháo_hoa,🎆
🙏,0.0,:folded_hands:,cầu_nguyện,🙏
🥵,0.0,:hot_face:,nóng_bức,🥵
👇,0.0,:backhand_index_pointing_down:,chỉ_xuống,👇
✌,0.0,:victory_hand:,chữ_v,✌
📩,0.0,:envelope_with_arrow:,thư_có_mũi_tên,📩
🥭,0.0,:mango:,xoài,🥭
😟,0.0,:worried_face:,lo_âu,😟
🔖,0.0,:bookmark:,đánh_dấu_trang,🔖
🌟,0.8,:glowing_star:,ngôi_sao_lấp_lánh,🌟
🦿,0.0,:mechanical_leg:,chân_giả,🦿
🤖,0.0,:robot:,người_máy,🤖
👻,0.0,:ghost:,ma,👻
🌈,0.0,:rainbow:,cầu_vồng,🌈
👌,0.0,:OK_hand_light_skin_tone:,ổn,👌🏻
😠,-0.8,:angry_face:,giận_dữ,😠
💄,0.0,:lipstick:,son_môi,💄
😖,0.0,:confounded_face:,khó_chịu,😖
🥦,0.0,:broccoli:,bông_cải_xanh,🥦
😯,0.0,:hushed_face:,ngạc_nhiên,😯
⁉,0.0,:exclamation_question_mark:,chấm_hỏi_cảm_thán,⁉️
💀,0.8,:skull:,chết_cười,💀
💆‍♀,0.0,:woman_getting_massage:,thư_giãn,💆‍♀️
💘,0.8,:heart_with_arrow:,phải_lòng,💘
🆘,0.0,:SOS_button:,cầu_cứu,🆘
🍎,0.0,:red_apple:,táo_đỏ,🍎
