slang,meaning
99%,như_mới
ace,anh_chị_em
ae,anh_em
bro,anh_em
atrai,anh_trai
aye,anh yêu em
baoh,bao_giờ
bnhiêu,bao_nhiêu
bnhiu,bao_nhiêu
biet,biết
biêt,biết
bik,biết
pjt,biết
buôg,buông
funny,buồn_cười
sad,buồn
bsvv,buổi_sáng vui_vẻ
bsĩ,bác_sĩ
cmt,bình_luận
bth,bình_thường
bthg,bình_thường
bthường,bình_thường
btthuong,bình_thường
normal,bình_thường
bìh,bình
bóg,bóng
ghosting,bơ tin_nhắn
ems,bưu_điện việt_nam
bbè,bạn_bè
my fen,bạn của tôi
bgái,bạn_gái
btrai,bạn_trai
bạn hiền,bạn
bạng,bạn
bn,bạn
bợn,bạn
fen,bạn
friend,bạn
bh,bảo_hành
bật ngửa,bất_ngờ
wow,bất_ngờ
busy,bận
bằg,bằng
unfl,bỏ theo_dõi
bme,bố_mẹ
combo,bộ sản_phẩm
set,bộ sản_phẩm
high,cao
cka,cha
share,chia_sẻ
fight,chiến_đấu
chug,chung
pro,chuyên_nghiệp
bank,chuyển_khoản ngân_hàng
chuện,chuyện
cbị,chuẩn_bị
chẩn,chuẩn
choẩn,chuẩn
chuẩn bài,chuẩn
chuẩn cmnr,chuẩn
chuẩn không cần chỉnh,chuẩn
chuẩn luôn,chuẩn
chửn,chuẩn
chàg,chàng
auth,chính_hãng
authentic,chính_hãng
chuẩn cơm mẹ nấu,chính_xác
dog,chó
cmày,chúng_mày
chúng mik,chúng_mình
chta,chúng_ta
cta,chúng_ta
chúg,chúng
chăg,chăng
play,chơi
ctr,chương_trình
ctrinh,chương_trình
ctrình,chương_trình
quality,chất_lượng
slow,chậm
sure,chắc_chắn
chs,chẳng hiểu sao
block,chặn
ce,chị_em
sis,chị_em
cj,chị
chk,chồng
ck,chồng
chục k,chục_nghìn_đồng
cmnd,chứng_minh_nhân_dân
cgai,con_gái
cgái,con_gái
cmm,con_mẹ_mày
cmn,con_mẹ_nó
cmnr,con_mẹ_nó rồi
ctrai,con_trai
ctraj,con_trai
ku,cu
csống,cuộc_sống
csong,cuộc_sống
life,cuộc_sống
cđời,cuộc_đời
coffee,cà_phê
càg,càng
mí bạn,các_bạn
mí bạng,các_bạn
clmm,cái_lồn_mẹ_mày
